item	itemLabel
http://www.wikidata.org/entity/Q1083115	Christina Brudereck
http://www.wikidata.org/entity/Q1083341	Christina von Haaren
http://www.wikidata.org/entity/Q1097485	Claudia Guderian
http://www.wikidata.org/entity/Q1097680	Klára Ionescu
http://www.wikidata.org/entity/Q1097825	Claudia Tiersch
http://www.wikidata.org/entity/Q1103138	Ata Kabán
http://www.wikidata.org/entity/Q1115153	Erzsébet Kol
http://www.wikidata.org/entity/Q1127721	Vanda Lamm
http://www.wikidata.org/entity/Q1133455	Cornelia Weber-Lehmann
http://www.wikidata.org/entity/Q1147667	María T. Martelo
http://www.wikidata.org/entity/Q1082782	Christiane Olivier
http://www.wikidata.org/entity/Q1082800	Christiane Reitz
http://www.wikidata.org/entity/Q1082840	Christiane Tietz
http://www.wikidata.org/entity/Q1083525	Christine Fleck-Bohaumilitzky
http://www.wikidata.org/entity/Q1083557	Christine Gudorf
http://www.wikidata.org/entity/Q1083770	Christine Schmitz
http://www.wikidata.org/entity/Q1083836	Christine Walde
http://www.wikidata.org/entity/Q1097550	Claudia Klodt
http://www.wikidata.org/entity/Q1097823	Claudia Theune
http://www.wikidata.org/entity/Q1097878	Claudia Wiener
http://www.wikidata.org/entity/Q1109197	Júlia Király
http://www.wikidata.org/entity/Q1111523	Anna Kiss-Eperjessy
http://www.wikidata.org/entity/Q1127662	Éva Lakó
http://www.wikidata.org/entity/Q1127942	Erzsébet Lantos
http://www.wikidata.org/entity/Q1132795	Corina Oosterveen
http://www.wikidata.org/entity/Q1132811	Corinna Dahlgrün
http://www.wikidata.org/entity/Q1163432	Daniela Kern
http://www.wikidata.org/entity/Q1083223	Christina Meckelnborg
http://www.wikidata.org/entity/Q1083278	Christina Schröder
http://www.wikidata.org/entity/Q1083749	Christine Ratkowitsch
http://www.wikidata.org/entity/Q1097394	Claudia Dalbert
http://www.wikidata.org/entity/Q1097573	Claudia Kunz-Eisenlohr
http://www.wikidata.org/entity/Q1106809	Erzsébet Keményné Gyimes
http://www.wikidata.org/entity/Q1109039	Elza Fromm-Trinta
http://www.wikidata.org/entity/Q1120301	Laura Kovács
http://www.wikidata.org/entity/Q1120585	Ágota Kováts
http://www.wikidata.org/entity/Q1126453	Conny Mayer-Bonde
http://www.wikidata.org/entity/Q1133341	Cornelia Harte
http://www.wikidata.org/entity/Q1143257	Yzma
http://www.wikidata.org/entity/Q1157255	Dagmar Burkhart
http://www.wikidata.org/entity/Q1157323	Dagmar Schratter
http://www.wikidata.org/entity/Q1096469	Erzsébet Illés
http://www.wikidata.org/entity/Q1097925	Claudia von Werlhof
http://www.wikidata.org/entity/Q1104076	Andrea Kandász
http://www.wikidata.org/entity/Q1114074	Pálma Pásztory
http://www.wikidata.org/entity/Q1157699	Daisy Spies
http://www.wikidata.org/entity/Q1159811	Danica Deutsch
http://www.wikidata.org/entity/Q1164887	Julianna Marchiş
http://www.wikidata.org/entity/Q1083174	Christina Hoegen-Rohls
http://www.wikidata.org/entity/Q1083817	Christine Swientek
http://www.wikidata.org/entity/Q1083880	Christine von Weizsäcker
http://www.wikidata.org/entity/Q1097414	Claudia Eckert
http://www.wikidata.org/entity/Q1097758	Claudia Schindler
http://www.wikidata.org/entity/Q1100407	Yekaterina Ivanova
http://www.wikidata.org/entity/Q1106621	Judit Kemenczky
http://www.wikidata.org/entity/Q1111516	Éva Kiss-Bitay
http://www.wikidata.org/entity/Q1128106	Constanze Giese
http://www.wikidata.org/entity/Q1128126	Constanze Stelzenmüller
http://www.wikidata.org/entity/Q1133375	Cornelia Matzke
http://www.wikidata.org/entity/Q1133466	Cornelia Zanger
http://www.wikidata.org/entity/Q1160171	Sarolta Lányi
http://www.wikidata.org/entity/Q1082850	Christiane Tramitz
http://www.wikidata.org/entity/Q1083415	Christine Bauer-Jelinek
http://www.wikidata.org/entity/Q1095257	Clara Stern
http://www.wikidata.org/entity/Q1104531	Valentina Karceva
http://www.wikidata.org/entity/Q1115095	Klára Kokas
http://www.wikidata.org/entity/Q1120715	Flóra Kozmutza
http://www.wikidata.org/entity/Q1133440	Cornelia Stolze
http://www.wikidata.org/entity/Q1157278	Dagmar Grassinger
http://www.wikidata.org/entity/Q1163615	Daniela Wuensch
http://www.wikidata.org/entity/Q1169769	Margret Heinemann
http://www.wikidata.org/entity/Q1083612	Johanna Christine Janowski
http://www.wikidata.org/entity/Q1097515	Claudia Honegger
http://www.wikidata.org/entity/Q1111316	Therese Rothauser
http://www.wikidata.org/entity/Q1128109	Constanze Kurz
http://www.wikidata.org/entity/Q1163864	Danielle Gourevitch
http://www.wikidata.org/entity/Q1083410	Christine Ax
http://www.wikidata.org/entity/Q1083852	Christine Wimbauer
http://www.wikidata.org/entity/Q1095573	Laura Iancu
http://www.wikidata.org/entity/Q1097404	Claudia Drees
http://www.wikidata.org/entity/Q1097671	Claudia Näser
http://www.wikidata.org/entity/Q1103092	Melinda Kaba
http://www.wikidata.org/entity/Q1107714	Zsuzsa Kertész
http://www.wikidata.org/entity/Q1120327	Magda Kovács
http://www.wikidata.org/entity/Q1133365	Cornelia Krause-Girth
http://www.wikidata.org/entity/Q1157338	Dagmar von Helversen
http://www.wikidata.org/entity/Q1164206	Jozefa Ellinger
http://www.wikidata.org/entity/Q1169871	Petra Bahr
http://www.wikidata.org/entity/Q1176420	Q1176420
http://www.wikidata.org/entity/Q1242500	Q1242500
http://www.wikidata.org/entity/Q1243130	Q1243130
http://www.wikidata.org/entity/Q1216873	Ágnes Neményi
http://www.wikidata.org/entity/Q1220155	Magda Nador
http://www.wikidata.org/entity/Q1228401	Piroska Palik
http://www.wikidata.org/entity/Q1236576	Stefanie Stahl
http://www.wikidata.org/entity/Q1240589	Donata Elschenbroich
http://www.wikidata.org/entity/Q1240853	Ilona Prunyi
http://www.wikidata.org/entity/Q1245281	Doris Nauer
http://www.wikidata.org/entity/Q1254481	Gudrun Loewe
