item	itemLabel	enarticle
http://www.wikidata.org/entity/Q259732	Květa Jeriová	https://en.wikipedia.org/wiki/Kv%C4%9Bta_Jeriov%C3%A1
http://www.wikidata.org/entity/Q211909	Anne Carr	https://en.wikipedia.org/wiki/Anne_Carr
http://www.wikidata.org/entity/Q183265	Wendy Brown	https://en.wikipedia.org/wiki/Wendy_Brown_(political_theorist)
http://www.wikidata.org/entity/Q185590	Jiřina Steimarová	https://en.wikipedia.org/wiki/Ji%C5%99ina_Steimarov%C3%A1
http://www.wikidata.org/entity/Q229625	Baba Vanga	https://en.wikipedia.org/wiki/Baba_Vanga
http://www.wikidata.org/entity/Q230105	Tatyana Kazankina	https://en.wikipedia.org/wiki/Tatyana_Kazankina
http://www.wikidata.org/entity/Q239960	Pamela Melroy	https://en.wikipedia.org/wiki/Pamela_Melroy
http://www.wikidata.org/entity/Q240534	Jeane Kirkpatrick	https://en.wikipedia.org/wiki/Jeane_Kirkpatrick
http://www.wikidata.org/entity/Q240701	K. Megan McArthur	https://en.wikipedia.org/wiki/K._Megan_McArthur
http://www.wikidata.org/entity/Q243072	Natalie Curtis	https://en.wikipedia.org/wiki/Natalie_Curtis
http://www.wikidata.org/entity/Q255221	Táhirih	https://en.wikipedia.org/wiki/T%C3%A1hirih
http://www.wikidata.org/entity/Q260054	Catherine Asaro	https://en.wikipedia.org/wiki/Catherine_Asaro
http://www.wikidata.org/entity/Q260670	Dion Fortune	https://en.wikipedia.org/wiki/Dion_Fortune
http://www.wikidata.org/entity/Q185191	Dominique Eade	https://en.wikipedia.org/wiki/Dominique_Eade
http://www.wikidata.org/entity/Q198305	Margaret Sharp, Baroness Sharp of Guildford	https://en.wikipedia.org/wiki/Margaret_Sharp,_Baroness_Sharp_of_Guildford
http://www.wikidata.org/entity/Q198346	Rosemary Radford Ruether	https://en.wikipedia.org/wiki/Rosemary_Radford_Ruether
http://www.wikidata.org/entity/Q205698	Suvi-Anne Siimes	https://en.wikipedia.org/wiki/Suvi-Anne_Siimes
http://www.wikidata.org/entity/Q214256	Gabriele Wülker	https://en.wikipedia.org/wiki/Gabriele_W%C3%BClker
http://www.wikidata.org/entity/Q215011	Dorothy Burlingham	https://en.wikipedia.org/wiki/Dorothy_Burlingham
http://www.wikidata.org/entity/Q234244	Anna Leonowens	https://en.wikipedia.org/wiki/Anna_Leonowens
http://www.wikidata.org/entity/Q235580	Claudie Haigneré	https://en.wikipedia.org/wiki/Claudie_Haigner%C3%A9
http://www.wikidata.org/entity/Q256916	Fiona Caroline Graham	https://en.wikipedia.org/wiki/Fiona_Graham
http://www.wikidata.org/entity/Q258206	Agnes Meyer Driscoll	https://en.wikipedia.org/wiki/Agnes_Meyer_Driscoll
http://www.wikidata.org/entity/Q200611	Meredith Eaton	https://en.wikipedia.org/wiki/Meredith_Eaton
http://www.wikidata.org/entity/Q219439	Agnes Mary Mansour	https://en.wikipedia.org/wiki/Agnes_Mary_Mansour
http://www.wikidata.org/entity/Q234994	Jennifer Granholm	https://en.wikipedia.org/wiki/Jennifer_Granholm
http://www.wikidata.org/entity/Q237173	Mary Parker Follett	https://en.wikipedia.org/wiki/Mary_Parker_Follett
http://www.wikidata.org/entity/Q241609	Tipper Gore	https://en.wikipedia.org/wiki/Tipper_Gore
